종목,기호,가격(KRW),총 시가,거래량(24H),총 거래량,변동(24H),변동(7D)
비트코인,BTC,"37,801,158.7",₩700.72T,₩64.28T,34.71%,-12.49%,-31.58%
이더리움,ETH,"2,184,896.49",₩249.93T,₩45.22T,24.42%,-19.02%,-48.51%
Tether,USDT,"1,130.3639",₩67.07T,₩135.75T,73.30%,+0.11%,+0.09%
Dogecoin,DOGE,332.169992,₩43.06T,₩5.36T,2.89%,-15.55%,-43.04%
Cardano,ADA,"1,292.618396",₩41.85T,₩7.17T,3.87%,-24.62%,-50.48%
Binance Coin,BNB,"267,123.60",₩41.15T,₩4.09T,2.21%,-25.98%,-59.80%
XRP,XRP,798.67544,₩36.52T,₩9.07T,4.90%,-23.72%,-54.04%
Internet Computer,ICP,"142,899.74",₩17.94T,₩618.41B,0.33%,-9.99%,-48.91%
Polkadot,DOT,"18,876.72704",₩17.38T,₩4.45T,2.40%,-29.39%,-63.17%
USD Coin,USDC,"1,127.465502",₩16.22T,₩4.00T,2.16%,+0.05%,+0.05%
